TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,7,9,18,0.2525400696474301,-0.08823949142329818,-1.5952651292368003,0.6105454906564695,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,10,16,-1.3864832134987628,-0.08823949142329818,1.416766262146202,-0.3441969049074894,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,6,8,15,0.2525400696474301,-0.08823949142329818,0.36762417237018036,-0.45611628639052215,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,dangerous driving,N,1,9,2,0.2525400696474301,-0.08823949142329818,0.4251374735708886,0.928017057606623,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,2,7,15,0.2525400696474301,-0.08823949142329818,-1.1648945874186767,0.918957776062486,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,11,14,0.2525400696474301,-0.08823949142329818,0.4728106425796881,0.7279875805713069,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,N,4,4,16,0.2525400696474301,-0.08823949142329818,0.6222400095303071,0.802543746943706,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,7,2,13,-1.3864832134987628,-0.08823949142329818,-0.6733288555548776,-0.7484854788492928,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,road conditions,others,W,5,4,7,0.2525400696474301,-0.08823949142329818,0.3176538112572113,0.18553703930989765,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,11,15,0.2525400696474301,-0.08823949142329818,-0.6763899804320249,-1.1408383320645346,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,3,1,19,-1.3864832134987628,-0.08823949142329818,1.3914585986137316,0.1705035380893686,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,6,12,21,0.2525400696474301,-0.08823949142329818,0.18539217379801656,-1.1141562432610714,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,2,11,17,0.2525400696474301,-0.08823949142329818,-1.2004261708076922,-0.39641990712424946,1
OTHER,OTHER,SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,external factors,others,W,6,11,11,0.2525400696474301,-0.08823949142329818,0.7629654883395831,0.3086381062398395,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,6,17,-3.025506496644956,-0.08823949142329818,1.657448084143729,0.1478345818954705,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,1,7,2,0.2525400696474301,-0.08823949142329818,1.1182579841849478,-2.66066027641877,1
NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,4,12,14,-0.5669715719256664,-0.08823949142329818,1.5464154279137232,0.24100716440537068,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,others,W,5,11,7,1.891563352793623,-0.08823949142329818,-1.926047459544373,-0.7021754371792519,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,5,4,12,0.2525400696474301,-0.08823949142329818,0.6316972296720919,-0.758494581340039,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,9,13,0.2525400696474301,-0.08823949142329818,-0.10041238572126285,-0.9332710222804685,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,6,9,14,0.2525400696474301,-0.08823949142329818,-0.367377971250595,-0.09326531929859024,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,10,3,0.2525400696474301,-0.08823949142329818,-0.7305310100683612,-0.2251384669767666,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,12,20,0.2525400696474301,-0.08823949142329818,-0.5597288976655401,-0.412348227996774,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,1,10,-3.025506496644956,-0.08823949142329818,0.7094151832570537,-0.9543468859259643,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,WORN SURFACE,others,dangerous driving,E,6,3,18,0.2525400696474301,-0.08823949142329818,-0.9476444774642825,1.1820102804847368,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,1,7,2,0.2525400696474301,-0.08823949142329818,0.301350756903559,-1.0223014593033164,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,1,10,13,0.2525400696474301,-0.08823949142329818,-1.3275133469769687,-0.39137698858573944,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DARKNESS,FIXED OBJECT,TRAFFIC ROUTE,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,3,6,19,0.2525400696474301,-2.236113601203421,-0.39905746968920597,-0.25538845189315523,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,3,8,20,0.2525400696474301,-0.08823949142329818,-0.9661889998164208,1.5316456643081169,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,6,7,13,0.2525400696474301,2.0596346183568244,0.827275904562491,-1.9618713282333082,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,2,18,0.2525400696474301,-0.08823949142329818,0.5028379965902509,0.929016112492079,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,W,4,1,17,0.2525400696474301,-0.08823949142329818,0.7446331215388169,-0.13802561661164806,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,12,15,0.2525400696474301,-0.08823949142329818,0.7906197403078956,-2.124645208005432,1
NO CONTROLS,NO CONTROLS,SNOW,DARKNESS,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,S,3,2,22,-0.5669715719256664,-0.08823949142329818,-0.5676102452379981,1.1027259815823203,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,N,7,11,3,0.2525400696474301,-0.08823949142329818,1.32820109129239,-0.8241135277750924,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,OTHER,STRAIGHT ON GRADE,DRY,NO DEFECTS,dangerous driving,others,W,2,7,18,1.0720517112205266,-0.08823949142329818,1.3964675454169038,-0.5966588524982009,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,7,3,14,0.2525400696474301,-0.08823949142329818,-0.300950412610654,-0.05512051752197132,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,7,3,7,0.2525400696474301,-0.08823949142329818,0.2424864642821657,-1.108244551194445,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ALLEY,STRAIGHT AND LEVEL,ICE,NO DEFECTS,dangerous driving,others,W,2,1,10,-2.2059948550718596,-0.08823949142329818,1.6334412451596296,-0.11371465527874595,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,4,9,13,0.2525400696474301,-0.08823949142329818,1.2878274298706254,-2.664432465471428,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,1,9,13,0.2525400696474301,-0.08823949142329818,1.355539129684341,-0.16869288072469468,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,2,7,17,-1.3864832134987628,-0.08823949142329818,0.904143543087119,-0.9631407168787476,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,careless driving,others,S,3,8,9,0.2525400696474301,-0.08823949142329818,-2.006953829002391,2.3546894888747456,1
