iter	MultiClass
0	1.047648022
1	1.007970766
2	0.9775041342
3	0.9533127317
4	0.933039099
5	0.9166125868
6	0.9023595286
7	0.8909272202
8	0.8805218139
9	0.8709350015
10	0.8632751681
11	0.8565986111
12	0.8506379601
13	0.8453445559
14	0.8390224606
15	0.8331098701
16	0.8283827716
17	0.8221589353
18	0.8179991284
19	0.8134258005
20	0.8092884685
21	0.7988605157
22	0.7950881894
23	0.7923037247
24	0.7893844621
25	0.7802992352
26	0.7784855777
27	0.7745651074
28	0.7721194169
29	0.7704115415
30	0.7688963981
31	0.7673758727
32	0.7603835603
33	0.7550697745
34	0.7536456979
35	0.7510582009
36	0.748739124
37	0.7467958007
38	0.7432812804
39	0.7418167569
40	0.7388504444
41	0.7371819299
42	0.7347205362
43	0.7337369013
44	0.7313701801
45	0.7245062946
46	0.7231023967
47	0.7208718228
48	0.7192864158
49	0.7124991725
50	0.7110753783
51	0.7102647893
52	0.7087503718
53	0.7070345029
54	0.7057073578
55	0.7050609872
56	0.7038055966
57	0.7023075629
58	0.7015849142
59	0.7003979236
60	0.6995252756
61	0.6987077454
62	0.6979261815
63	0.6969920098
64	0.6948079134
65	0.6934392153
66	0.692294037
67	0.6912948551
68	0.6904389472
69	0.6892501333
70	0.6884784147
71	0.6878765528
72	0.6869654177
73	0.6858573376
74	0.6852639807
75	0.6844664749
76	0.6841490512
77	0.6831526876
78	0.6826798472
79	0.6821867316
80	0.681650039
81	0.6810541023
82	0.6787618289
83	0.6780123102
84	0.6773174433
85	0.6764056881
86	0.6753625042
87	0.6746641724
88	0.6731335171
89	0.6707536976
90	0.6703424144
91	0.6681882291
92	0.6672004527
93	0.6623673996
94	0.6606759164
95	0.65963798
96	0.6567618015
97	0.6542854448
98	0.652750574
99	0.6520842079
100	0.6510215249
101	0.6488434501
102	0.6468720098
103	0.6461304485
104	0.6452267589
105	0.64307246
106	0.6390730885
107	0.6382248378
108	0.6373794057
109	0.6366399987
110	0.6358301099
111	0.6351291061
112	0.6335858761
113	0.630448057
114	0.6285172146
115	0.6264142751
116	0.6257877355
117	0.6251032249
118	0.6238321925
119	0.622542366
120	0.6219575444
121	0.6214739167
122	0.6205942071
123	0.6192606757
124	0.6186727242
125	0.6178842275
126	0.6156943363
127	0.614960801
128	0.6143752863
129	0.6127981745
130	0.6123345818
131	0.6118155741
132	0.6111760319
133	0.6089669931
134	0.6082925587
135	0.6079523695
136	0.6074898425
137	0.606293888
138	0.6045243233
139	0.6037579287
140	0.6018737315
141	0.6010113567
142	0.5997102183
143	0.5991249973
144	0.5983888841
145	0.5978158953
146	0.5974430562
147	0.5969226952
148	0.5966340086
149	0.595243164
150	0.5947856587
151	0.5944183907
152	0.5938962027
153	0.5934756764
154	0.5929219395
155	0.5924651384
156	0.5920781573
157	0.5899596155
158	0.589407473
159	0.5890673613
160	0.588699649
161	0.5883063309
162	0.5880586544
163	0.5877761747
164	0.5874406806
165	0.5864364644
166	0.5860961248
167	0.5857852994
168	0.5851456978
169	0.5848254838
170	0.5841941926
171	0.5837880239
172	0.5833477784
173	0.5829316024
174	0.5822127876
175	0.5817845888
176	0.5809004954
177	0.5806251088
178	0.5799297268
179	0.5794321247
180	0.5792468354
181	0.5790157136
182	0.5784986109
183	0.5782906281
184	0.5778670742
185	0.5774937791
186	0.5771398612
187	0.5769478085
188	0.5766654043
189	0.5762749655
190	0.5759546148
191	0.5756178395
192	0.5752906099
193	0.5750174672
194	0.5747208609
195	0.5744037044
196	0.5740200112
197	0.573672602
198	0.5728614997
199	0.5724948821
200	0.5721749325
201	0.5718346262
202	0.5712443521
203	0.5708105707
204	0.5705599305
205	0.5702469876
206	0.5699675526
207	0.5696207525
208	0.5694959071
209	0.5690304184
210	0.5674412539
211	0.5672057497
212	0.5669894511
213	0.5657283357
214	0.5653351928
215	0.5651366296
216	0.564742431
217	0.5639455388
0.5859947946
219	0.5857706655
220	0.5852508968
221	0.584897487
222	0.5846536191
223	0.5842831199
224	0.5840377064
225	0.5836137139
226	0.583300283
227	0.5830656556
228	0.5828641859
229	0.582668522
230	0.5824785372
231	0.5822650617
232	0.5819395362
233	0.5818044953
234	0.5816153285
235	0.5813611531
236	0.5810429653
237	0.5807039655
238	0.57954835
239	0.5792375471
240	0.5790627233
241	0.5787216836
242	0.5780219702
243	0.5776608384
244	0.5772225412
245	0.5769202598
246	0.5765929513
247	0.5763618231
248	0.5761319173
249	0.5759560107
250	0.575574017
