iter	Passed	Remaining
0	11449	11438041	1	22879	1141682	22	35403	11765766
3	46530	11586100
4	61011	12141360
5	74753	12384138
6	88673	12578907
7	104198	12920610
8	120339	13250724
9	134241	13289948
10	148852	13383164
11	163811	13487111
12	178831	13577400
13	193209	13607477
14	208055	13662291
15	222147	13662088
16	237395	13727066
17	251445	13717769
18	267332	13802813
19	282549	13844915
20	297158	13853246
21	312042	13871688
22	329118	13980363
23	346118	14075487
24	363383	14171963
25	377335	14135561
26	397353	14319439
27	408781	14190574
28	433644	14519602
29	457723	14799730
30	481825	15060931
31	502373	15196790
32	516390	15131815
33	536380	15239508
34	554311	15283161
35	566837	15178640
36	581288	15129222
37	595713	15080960
38	612308	15087914
39	632499	15179983
40	646839	15129726
41	662378	15108530
42	674190	15004651
43	695441	15110051
44	708859	15043567
45	727303	15083648
46	746234	15131085
47	762165	15116281
48	782788	15192484
49	817877	15539667
50	838946	15610991
51	861032	15697284
52	874956	15633659
53	885907	15519792
54	901007	15480941
55	920006	15508687
56	931733	15414461
57	948348	15402492
58	967994	15438695
59	981198	15372114
60	1000226	15396934
61	1016976	15385868
62	1033384	15369543
63	1051467	15377716
64	1070535	15399235
65	1084802	15351601
66	1101475	15338457
67	1120163	15352832
68	1140516	15388708
69	1154859	15343131
70	1172281	15338725
71	1195380	15407120
72	1212612	15398522
73	1225393	15333983
74	1241220	15308383
75	1254294	15249574
76	1277612	15314760
77	1296040	15319868
78	1314097	15320047
79	1334086	15341996
80	1357156	15397866
81	1375520	15399114
82	1391696	15375728
83	1410099	15376804
84	1425130	15341108
85	1440604	15310611
86	1455462	15273986
87	1470840	15243258
88	1487543	15226430
89	1501893	15185816
90	1517171	15155037
91	1533304	15133045
92	1548994	15106863
93	1563732	15071719
94	1577755	15030198
95	1591019	14982096
96	1606276	14953279
97	1621321	14922773
98	1636134	14890476
99	1654558	14891022
100	1670025	14864881
101	1684748	14832395
102	1699958	14804494
103	1715286	14777849
104	1732919	14771074
105	1746881	14733135
106	1760957	14696587
107	1775648	14665542
108	1795035	14673182
109	1810633	14649674
110	1826392	14627592
111	1843621	14617281
112	1859680	14597668
113	1871448	14544766
114	1886916	14521055
115	1901526	14490941
116	1916492	14463783
117	1929984	14425813
118	1944878	14398639
119	1957741	14356767
120	1978935	14375903
121	1993546	14346995
122	2007997	14317184
123	2023857	14297576
124	2038079	14266559
